éö	Unicode	èoåªêî	JISÉRÅ[Éh(7bit)
óö	5C65	25	19834
ó©	63A0	25	20011
ó›	7D2F	25	20063
ò[	9E93	25	20284
ùX	62D7	25	22841
ÈÎ	9D09	25	29293
à—	5C09	24	12371
àÊ	57DF	24	12392
â≥	4E59	24	12853
â‚	4FC4	24	12900
äR	5D16	24	13107
ä¬	74B0	24	13380
å£	732E	24	14373
çk	8015	24	14668
çÔ	643E	24	14961
éª	6089	24	15421
éÈ	6731	24	15467
è∫	662D	24	15932
è—	8096	24	15955
ê±	68F2	24	16435
ê÷	8E5F	24	16472
ëÄ	64CD	24	16736
ë¬	5815	24	16964
íµ	8DF3	24	17463
ìE	6458	24	17702
ì∂	7AE5	24	17976
ì‹	66C7	24	18014
îã	8429	24	18283
ï°	8907	24	18979
ïæ	5F0A	24	19008
ñq	7267	24	19282
ñÄ	6469	24	19296
ñ–	5B5F	24	19538
ów	8B21	24	19800
óã	96F7	24	19819
óª	50DA	24	20029
óÈ	9234	24	20075
òR	6F0F	24	20275
òÎ	4FEF	24	20589
Èô	9AEF	24	29049
p	70	23	112
É]	30BE	23	9534
âx	60A6	23	12633
â⁄	8766	23	12892
âÎ	96C5	23	12909
äZ	93A7	23	13115
äk	6BBB	23	13132
åG	9688	23	14120
åS	90E1	23	14132
å…	5EAB	23	14411
çE	5B54	23	14630
ç—	91C7	23	14931
èÚ	6D44	23	15988
êm	4EC1	23	16206
ëu	723D	23	16726
íü	5E16	23	17441
ìJ	7B1B	23	17707
ì≥	649E	23	17973
îÇ	72FD	23	18274
ñA	6CE1	23	19234
ñü	6F2B	23	19489
ËÚ	9838	23	28788
âá	63F4	22	12647
âê	8276	22	12656
âõ	592E	22	12667
â•	7FC1	22	12839
â´	6C96	22	12845
â≤	7261	22	12852
äî	682A	22	13172
ä∞	5BDB	22	13362
ãH	7A00	22	13609
ãi	55AB	22	13642
ã·	541F	22	13923
åw	8A63	22	14168
åÅ	621F	22	14177
åî	5238	22	14196
çV	6602	22	14647
éú	6148	22	15228
éß	800C	22	15401
èR	8E74	22	15667
êú	9817	22	16252
ê†	647A	22	16418
ë_	72D9	22	16704
ëÖ	69FD	22	16741
ëœ	8010	22	16977
íY	70AD	22	17210
í^	803D	22	17215
ìÉ	5854	22	17763
ìè	68DF	22	17775
î±	7F70	22	18483
ñµ	77DB	22	19511
ñ¡	9298	22	19523
ñ◊	5132	22	19545
óq	7AAF	22	19794
ü≠	6D12	22	24111
„Ø	7F86	22	26161
Åñ	FF0A	21	8566
à†	5516	21	12322
âG	70CF	21	12584
â±	6876	21	12851
âŸ	83D3	21	12891
äP	54B3	21	13105
åc	6176	21	14148
åq	7E4B	21	14162
å“	80A1	21	14420
çQ	614C	21	14642
çÄ	9805	21	14688
çß	61C7	21	14889
ç”	7815	21	14933
éﬁ	914C	21	15456
è`	6C41	21	15681
êv	8FC5	21	16215
ë\	66FE	21	16701
íñ	732A	21	17270
íß	6311	21	17449
í¥	8D85	21	17462
ìÄ	51CD	21	17760
ì®	9419	21	17962
ìŸ	9041	21	18011
ì	6C5D	21	18034
ïé	4FAE	21	18798
ï⁄	97AD	21	19036
ñJ	8912	21	19243
ño	64B2	21	19280
ñz	5954	21	19291
ñ˙	6108	21	19580
óÿ	9C57	21	20058
óÔ	66A6	21	20081
òN	6717	21	20271
·Ÿ	77BC	21	25179
„»	7FF3	21	26186
‰©	832B	21	26667
Â‘	8882	21	27222
âj	6CF3	20	12619
â’	82DB	20	12887
äd	5687	20	13125
äÖ	559D	20	13157
ä•	51A0	20	13351
äÕ	8266	20	13391
åÜ	5091	20	14182
åù	62F3	20	14205
åÆ	9375	20	14384
çe	7A3F	20	14662
ç≠	75D5	20	14895
çÃ	63A1	20	14926
é]	8B83	20	15166
éâ	8102	20	15209
éº	6E7F	20	15422
é‰	60F9	20	15462
èQ	8B90	20	15666
è∏	6607	20	15930
ë°	8D08	20	16931
í◊	6F70	20	17497
î¢	7BB8	20	18468
ïÜ	819A	20	18790
ñÜ	6627	20	19302
ñò	8FC4	20	19320
ô~	51ED	20	20831
ök	55C5	20	21324
âg	66F3	19	12616
âµ	5378	19	12855
âÁ	81E5	19	12905
ä”	9451	19	13397
äÊ	9811	19	13416
ãw	4EC7	19	13656
ã™	55AC	19	13868
åË	745A	19	14442
çj	7DB1	19	14667
éX	73CA	19	15161
èœ	7CA7	19	15953
êf	8A3A	19	16199
ëb	790E	19	16707
íC	8FB0	19	17188
íÅ	79E9	19	17249
íÊ	5448	19	17512
íÏ	5EF7	19	17518
îb	5DF4	19	18243
ï≥	7CDE	19	18997
ïπ	4F75	19	19003
ñ¨	8108	19	19502
ñ›	9905	19	19551
óΩ	51CC	19	20031
òE	6AD3	19	20262
Ë˙	986B	19	28796
È\	9945	19	28989
È`	9952	19	28993
","	2C	18	44
ÅR	30FD	18	8499
Çr	FF33	18	9043
Éí	30F2	18	9586
àŒ	5937	18	12368
àÿ	754F	18	12378
àÈ	78EF	18	12395
ä^	86D9	18	13119
ä´	559A	18	13357
ãQ	98E2	18	13618
ã±	606D	18	13875
åa	5F84	18	14146
åÔ	9BC9	18	14449
éT	6492	18	15157
é¢	723E	18	15396
è«	75C7	18	15945
êZ	6D78	18	16187
êæ	8A93	18	16448
ê˘	65CB	18	16507
ëA	7FA8	18	16674
ë}	633F	18	16734
íä	62BD	18	17258
ì^	985B	18	17727
îu	76C3	18	18262
î∞	4F10	18	18482
î¥	95A5	18	18486
îÕ	7BC4	18	18511
ïp	983B	18	18769
ï∞	711A	18	18994
óÉ	7FFC	18	19811
óû	7483	18	19838
ùe	629B	18	22854
‡x	70AC	18	24409
Ëı	9837	18	28791
Åö	2605	17	8570
à˙	6DEB	17	12412
âÀ	67B6	17	12877
â‡	971E	17	12898
äª	68FA	17	13373
äﬂ	73A9	17	13409
äÍ	4F0E	17	13420
ãœ	5747	17	13905
ã—	9326	17	13907
å~	9BE8	17	14175
çC	57A2	17	14628
ç¡	632B	17	14915
ç…	5BB0	17	14923
éC	64E6	17	15140
éà	80A2	17	15208
è°	5347	17	15907
êÜ	708A	17	16230
ë¡	553E	17	16963
ë	629E	17	17010
íK	72F8	17	17196
íê	8A3B	17	17264
íÂ	8C9E	17	17511
ì¥	6D1E	17	17974
ì¬	7763	17	17988
ìƒ	7BE4	17	17990
î¨	6E8C	17	18478
î„	6590	17	18533
ïI	8098	17	18730
ïµ	96F0	17	18999
ñE	80DE	17	19238
ó`	8F3F	17	19777
ón	6EB6	17	19791
òc	6B6A	17	20292
ò»	4F47	17	20554
öX	5538	17	21305
öÏ	5925	17	21614
ú±	6115	17	22579
‡ù	71F5	17	24445
„J	7D46	17	25899
1	31	16	49
E	45	16	69
f	66	16	102
âI	8FC2	16	12586
âÉ	5BB4	16	12643
â£	6BB4	16	12837
äs	90ED	16	13140
äâ	6E07	16	13161
äì	9784	16	13171
äÿ	97D3	16	13402
ãù	4EAB	16	13693
ã¢	5147	16	13860
åB	6C93	16	14115
çx	90CA	16	14681
êí	5D07	16	16242
ëM	9583	16	16686
ëU	7E55	16	16694
ëÿ	6EDE	16	16986
ë€	82D4	16	16989
íA	4F46	16	17186
íM	6A3D	16	17198
íà	5B99	16	17256
í¡	93AE	16	17475
ìi	59AC	16	17738
ìµ	77B3	16	17975
ìﬁ	5948	16	18016
ìÛ	5F10	16	18037
ïÌ	5023	16	19055
ñG	840C	16	19240
ñM	90A6	16	19246
ñf	8CBF	16	19271
ñÔ	5384	16	19569
óy	9065	16	19802
óî	6FEB	16	19828
òD	9B6F	16	20261
öë	56C1	16	21361
ö∫	57C3	16	21564
öÕ	5879	16	21583
új	5F8A	16	22347
ú›	619A	16	22623
ü|	6BEB	16	23901
·∞	76BA	16	25138
‰D	8151	16	26405
k	6B	15	107
y	79	15	121
Ç•	3047	15	9255
àº	9B8E	15	12350
âî	925B	15	12660
âô	7525	15	12665
â–	798D	15	12882
âÂ	7259	15	12903
äH	82A5	15	13097
ã≤	631F	15	13876
çn	80B1	15	14671
ç±	4E9B	15	14899
ç˙	5319	15	14972
è‡	9418	15	15970
êT	614E	15	16181
ëÔ	6258	15	17009
ëı	8A17	15	17015
íb	935B	15	17219
íì	99D0	15	17267
íô	8CAF	15	17273
í–	6F2C	15	17490
ìB	91D8	15	17699
ì\	8CBC	15	17725
ìú	7CD6	15	17788
î‚	62AB	15	18532
ï_	5EDF	15	18752
ïb	79D2	15	18755
ïã	8D74	15	18795
ï´	543B	15	18989
ïﬁ	5703	15	19040
ñi	5420	15	19274
óœ	502B	15	20049
ó˘	7149	15	20091
ò\	7984	15	20285
ò‘	5118	15	20566
òÂ	4F1C	15	20583
ù∫	652B	15	23100
·õ	766A	15	24955
‰`	81CD	15	26433
ÊØ	8C48	15	27697
Í°	9059	15	29731
.	2E	14	46
T	54	14	84
v	76	14	118
Çs	FF34	14	9044
àﬁ	840E	14	12384
â≠	5104	14	12847
â«	5BE1	14	12873
äê	53F6	14	13168
äï	515C	14	13173
äõ	9D28	14	13179
ãÇ	6C72	14	13666
ãë	62D2	14	13681
ã®	537F	14	13866
å[	5553	14	14140
åd	6167	14	14149
çO	5F18	14	14640
çi	7D5E	14	14666
çz	9271	14	14683
çä	6FE0	14	14698
ç≥	53C9	14	14901
éB	64AE	14	15139
é_	9178	14	15168
èJ	7E4D	14	15659
èñ	53D9	14	15734
êë	9AC4	14	16241
ë¯	8AFE	14	17018
í~	84C4	14	17247
í‘	7DB4	14	17494
ï˜	5E96	14	19065
ñt	91E6	14	19285
ñ…	7DEC	14	19531
ñ¸	7652	14	19582
ó∞	786B	14	20018
ó⁄	7460	14	20060
òq	7897	14	20306
òÙ	505A	14	20598
ôÔ	547B	14	21105
ûD	66E0	14	23333
‡£	721B	14	24613
‚¥	7B92	14	25654
Âï	8760	14	26997
Âû	8759	14	27006
Ê√	8CAA	14	27717
ÊŒ	8CFD	14	27728
Áó	901E	14	28023
Ëà	95CA	14	28520
L	4C	13	76
g	67	13	103
Å~	D7	13	8543
ÇP	FF11	13	9009
ÇQ	FF12	13	9010
ÇS	FF14	13	9012
Éa	30C2	13	9538
âa	990C	13	12610
â{	95B2	13	12636
âË	82BD	13	12906
â¯	6062	13	12922
äc	5283	13	13124
äq	8D6B	13	13138
ã[	64EC	13	13628
ãÁ	72D7	13	13929
ãÎ	8EAF	13	13933
ã˘	6ADB	13	13947
åg	643A	13	14152
åß	770C	13	14377
çJ	5DF7	13	14635
ç|	92FC	13	14685
éL	9BAB	13	15149
é›	7235	13	15455
èr	4FCA	13	15699
èπ	660C	13	15931
èª	6676	13	15933
ê˜	714E	13	16505
ê¯	717D	13	16506
ër	55AA	13	16723
ëè	8061	13	16751
ë®	6349	13	16938
íX	6E5B	13	17209
í∆	69CC	13	17480
íÿ	576A	13	17498
ìq	8CED	13	17746
ìÿ	8C5A	13	18010
îÍ	7DCB	13	18540
ïõ	526F	13	18811
ï©	9B92	13	18987
ñI	8702	13	19242
ñp	6734	13	19281
ñœ	5984	13	19537
ñÎ	8036	13	19565
óÑ	6DC0	13	19812
óë	5375	13	19825
ó∆	7CE7	13	20040
òO	697C	13	20272
öe	557C	13	21318
ù™	64E1	13	23084
üB	6ABB	13	23843
„ﬁ	8073	13	26208
„Í	809A	13	26220
Ê†	8B6C	13	27682
ÁÄ	8F62	13	28000
Ë‹	978B	13	28766
Èx	9A19	13	29017
P	50	12	80
S	53	12	83
à«	674F	12	12361
à	828B	12	12402
âÏ	9913	12	12910
äí	6A3A	12	13170
ä∂	61BE	12	13368
äÚ	5C90	12	13428
ãﬁ	8B39	12	13920
åE	7AAA	12	14118
åH	7C82	12	14121
åL	936C	12	14125
åŸ	96C7	12	14427
çv	8CA2	12	14679
çÑ	525B	12	14692
ç·	51B4	12	14947
çÌ	524A	12	14959
çÚ	67F5	12	14964
é™	8494	12	15404
é—	7D17	12	15443
èD	6101	12	15653
èl	7C9B	12	15693
èΩ	68A2	12	15935
èÀ	7965	12	15949
èŸ	8A54	12	15963
èË	5270	12	15978
è˘	9320	12	15995
ë[	63AA	12	16700
ëÒ	62D3	12	17011
íL	9C48	12	17197
ío	5F1B	12	17232
íë	914E	12	17265
í∞	8178	12	17458
í¬	9673	12	17476
ìl	6597	12	17741
ìò	7977	12	17784
ìΩ	533F	12	17983
îú	83AB	12	18300
î›	5E87	12	18527
ïF	5F66	12	18727
ï}	6276	12	18782
ï¶	6CB8	12	18984
ïº	5E63	12	19006
ïı	5CEF	12	19063
óX	90F5	12	19769
óf	5EB8	12	19783
óï	85CD	12	19829
ó¥	9F8D	12	20022
ó˙	7C3E	12	20092
ôÜ	520E	12	20838
ôã	5239	12	20843
öV	5556	12	21303
öΩ	57D2	12	21567
‡a	6FDB	12	24386
‡ã	7156	12	24427
·í	7647	12	24946
·ø	7729	12	25153
ÂK	8594	12	26924
ÂN	8587	12	26927
Á˙	92FA	12	28284
Ë…	9744	12	28747
ËÌ	7ADF	12	28783
-	2D	11	45
D	44	11	68
b	62	11	98
z	7A	11	122
Åg	201C	11	8520
Åh	201D	11	8521
ÇR	FF13	11	9011
Ça	FF22	11	9026
Çm	FF2E	11	9038
Çv	FF37	11	9047
âã	7114	11	12651
â¶	8956	11	12840
âæ	4F3D	11	12864
äA	6666	11	13090
ä†	5208	11	13346
ãî	6E20	11	13684
åK	6851	11	14124
éV	685F	11	15159
éÇ	7345	11	15202
éí	8CDC	11	15218
è¶	5617	11	15912
èß	5968	11	15913
ëX	564C	11	16697
ë√	59A5	11	16965
ëÛ	6FEF	11	17013
îP	637B	11	18225
îX	56A2	11	18233
îc	628A	11	18244
î»	7554	11	18506
î÷	78D0	11	18520
ï≈	9801	11	19015
ïÀ	77A5	11	19021
ñí	4EA6	11	19314
ñπ	5A7F	11	19515
ñª	51A5	11	19517
óA	8F38	11	19746
óZ	878D	11	19771
ói	64C1	11	19786
ôË	5475	11	21098
ôÚ	5484	11	21108
öl	55DF	11	21325
öí	56C3	11	21362
õ∆	5D4C	11	22088
ù≥	6500	11	23093
ù»	6572	11	23114
ùÀ	6583	11	23117
ùÚ	6688	11	23156
ûH	66F0	11	23337
ü≤	6D5A	11	24116
‡Ö	7165	11	24421
·É	75FA	11	24931
„Î	80AD	11	26221
‰K	8183	11	26412
Ê@	8966	11	27425
Ê~	8AE7	11	27487
ÊÏ	8DEA	11	27758
Áı	92CF	11	28279
Ëõ	964B	11	28539
Ë∑	970D	11	28729
È…	9BD4	11	29259
'	27	10	39
A	41	10	65
K	4B	10	75
Ç`	FF21	10	9025
àË	90C1	10	12394
âë	82D1	10	12657
äY	8A72	10	13114
äf	5ED3	10	13127
äá	62EC	10	13159
äã	845B	10	13163
ã¨	5CE1	10	13870
åU	8888	10	14134
å™	8B19	10	14380
ç^	6D2A	10	14655
çq	822A	10	14674
çæ	88DF	10	14912
çÒ	6714	10	14963
é`	9910	10	15169
éΩ	6F06	10	15423
éÕ	8D66	10	15439
éÓ	816B	10	15472
èV	916C	10	15671
èm	587E	10	15694
è£	54E8	10	15909
êd	85AA	10	16197
ê≈	7A0E	10	16455
êÕ	6790	10	16463
ê‰	8749	10	16486
ë@	7E4A	10	16673
ëÜ	6F15	10	16742
ëé	7D9C	10	16750
ëî	85FB	10	16756
íè	8877	10	17263
ìj	5C60	10	17739
ì—	9149	10	18003
î}	5A92	10	18270
îê	67CF	10	18288
îù	99C1	10	18301
î«	73ED	10	18505
îÿ	86EE	10	18522
ï…	78A7	10	19019
ï¸	670B	10	19070
óÎ	96F6	10	20077
òﬂ	501A	10	20577
ô∂	5315	10	21048
öT	555C	10	21301
öm	55C4	10	21326
öì	56C0	10	21363
õ@	5978	10	21793
õá	5BD0	10	21863
õ¶	5C79	10	22056
õﬂ	5DF2	10	22113
úp	5F98	10	22353
úü	6084	10	22561
úﬂ	6191	10	22625
ú‡	61AB	10	22626
úÙ	61FC	10	22646
ùÜ	63C9	10	22886
ùà	63F6	10	22888
ùâ	63C4	10	22889
ùµ	6518	10	23095
‡¬	72E1	10	24644
‡Œ	7325	10	24656
·∆	7738	10	25160
·Ô	788C	10	25201
‚M	795F	10	25390
„v	7E0B	10	25943
Êb	8A1D	10	27459
Ê“	8D05	10	27732
Ê›	8D67	10	27743
Áa	8ECB	10	27970
È§	9B22	10	29222
M	4D	9	77
N	4E	9	78
ÇT	FF15	9	9013
Çü	3041	9	9249
à∑	59D0	9	12345
âr	8A60	9	12627
âö	51F9	9	12666
ä 	7F36	9	13388
äﬁ	5DCC	9	13408
ä‰	8D0B	9	13414
ãd	63AC	9	13637
ãÑ	7078	9	13668
ãÒ	865E	9	13939
ås	830E	9	14164
å‚	5A2F	9	14436
ç®	660F	9	14890
ç‘	7826	9	14934
éJ	634C	9	15147
èx	99FF	9	15705
è{	65EC	9	15708
èû	511F	9	15742
èØ	5E84	9	15921
è›	91A4	9	15967
èÂ	4E1E	9	15975
êz	8ACF	9	16219
êç	9310	9	16237
ê€	6442	9	16477
ëp	53E2	9	16721
ëƒ	60F0	9	16966
ëÍ	6EDD	9	17004
íw	8718	9	17240
íí	92F3	9	17266
í¢	5F14	9	17444
í∫	52C5	9	17468
í÷	693F	9	17496
ìM	6EBA	9	17710
ì©	9676	9	17963
ì´	9A30	9	17965
ì–	5BC5	9	18002
îT	4E43	9	18229
îò	66DD	9	18296
îÎ	7F77	9	18541
ïm	7015	9	18766
ïä	8CE6	9	18794
ñN	92D2	9	19247
ñu	52C3	9	19286
ó√	7642	9	20037
ó€	5841	9	20061
óı	5EC9	9	20087
ó¸	806F	9	20094
òg	67A0	9	20296
ò¸	50B2	9	20606
ô{	51E0	9	20828
öæ	57D3	9	21568
ö‰	58FB	9	21606
ö¯	5962	9	21626
õÓ	5E5F	9	22128
úf	5F77	9	22343
ù{	6389	9	22876
ûl	67E9	9	23373
·∑	76E5	9	25145
‚P	7953	9	25393
‚ï	7B0A	9	25461
‚’	7C43	9	25687
‚˚	7CFA	9	25725
„O	7D68	9	25904
„k	7DFB	9	25932
„˙	8123	9	26236
„¸	814B	9	26238
ÂS	85C9	9	26932
Âv	86C6	9	26967
Êo	8A82	9	27472
ÊÀ	8CE4	9	27725
Á	929C	9	28274
ËÛ	9824	9	28789
ÈD	98AF	9	28965
È¢	9B1A	9	29220
ÍÄ	9EF4	9	29536
I	49	8	73
ÅÅ	FF1D	8	8545
ÇU	FF16	8	9014
àπ	98F4	8	12347
â®	9D0E	8	12842
äj	6838	8	13131
än	7A6B	8	13135
äè	9C39	8	13167
ä∆	7AFF	8	13384
ã”	6B23	8	13909
ã˚	5C51	8	13949
åç	8A23	8	14189
å∆	59D1	8	14408
åÁ	6A8E	8	14441
çd	786C	8	14661
çå	8F5F	8	14700
çí	7A40	8	14706
çº	8A50	8	14910
çÎ	9DFA	8	14957
é∆	5C61	8	15432
é‹	707C	8	15454
èå	66D9	8	15724
èõ	92E4	8	15739
è©	5A3C	8	15915
ê“	810A	8	16468
ë‚	9BDB	8	16996
í\	7BAA	8	17213
íû	5BF5	8	17278
í¶	61F2	8	17448
ì†	8569	8	17954
îd	64AD	8	18245
î¡	6591	8	18499
ïL	7562	8	18733
ïd	9328	8	18757
ïÙ	5CF0	8	19062
ñF	82B3	8	19239
ñP	9CF3	8	19249
ñå	819C	8	19308
ñ†	8513	8	19490
ñ√	59EA	8	19525
óú	68A8	8	19836
ó≤	9686	8	20020
ó”	71D0	8	20053
òh	9DF2	8	20297
òl	8A6B	8	20301
ò◊	4FCE	8	20569
ò‰	5005	8	20582
õX	5A62	8	21817
õg	5B0C	8	21832
õÁ	5E37	8	22121
úb	5F59	8	22339
úÀ	6177	8	22605
ú“	6165	8	22612
ú„	61CA	8	22629
úÓ	61E3	8	22640
ùR	6292	8	22835
ûO	6727	8	23344
ûS	6736	8	23348
û	6A47	8	23666
‚c	7A0D	8	25412
‚Ä	7AB6	8	25440
‚Ó	7CBD	8	25712
„©	7F60	8	26155
„µ	7F9E	8	26167
ÂÅ	86DB	8	26977
ÂŸ	88A2	8	27227
ÊF	8977	8	27431
ÊL	8998	8	27437
Êu	8AA6	8	27478
ÁÑ	8F9F	8	28004
Á°	9051	8	28195
Ëâ	6FF6	8	28521
Ë≥	96C9	8	28725
Ëπ	96F9	8	28731
Ë¸	9870	8	28798
Ír	9761	8	29523
2	32	7	50
B	42	7	66
H	48	7	72
^	5E	7	94
w	77	7	119
ÇV	FF17	7	9015
Çb	FF23	7	9027
à¬	6309	7	12356
à∆	978D	7	12360
à˚	80E4	7	12413
â|	698E	7	12637
ä≠	59E6	7	13359
ãh	5403	7	13641
ã•	51F6	7	13863
ãß	5321	7	13865
ã€	83CC	7	13917
ã‰	5036	7	13926
å◊	8DE8	7	14425
çÉ	9D3B	7	14691
çâ	62F7	7	14697
çç	9EB9	7	14701
ç˘	7B39	7	14971
é[	7E82	7	15164
é\	8695	7	15165
é¥	96EB	7	15414
éƒ	67F4	7	15430
ès	5CFB	7	15700
è∑	6377	7	15929
êó	96DB	7	16247
ê§	755D	7	16422
ë]	66FD	7	16702
íõ	5146	7	17275
í®	66A2	7	17450
í‰	5243	7	17510
í	633A	7	17522
íÛ	6C40	7	17525
ìP	64A4	7	17713
ì√	79BF	7	17989
ìŒ	9CF6	7	18000
ìÌ	6960	7	18031
ìÓ	8EDF	7	18032
ì¯	8679	7	18042
îπ	96BC	7	18491
îæ	53DB	7	18496
îƒ	6C4E	7	18502
ïN	903C	7	18735
ïT	8B2C	7	18741
ïZ	74E2	7	18747
ïò	847A	7	18808
ïØ	626E	7	18993
ï·	752B	7	19043
ïÂ	52DF	7	19047
ñ•	7B95	7	19495
ñ™	84D1	7	19500
ók	694A	7	19788
óÆ	7409	7	20016
óµ	4FB6	7	20023
òÌ	5006	7	20591
ôÂ	541D	7	21095
öL	54ED	7	21293
ö¢	5713	7	21540
ö 	6BC0	7	21580
õã	5BDE	7	21867
õû	5C53	7	21886
úr	5FA8	7	22355
úî	6043	7	22388
ú 	6173	7	22604
ùp	633E	7	22865
ùì	640F	7	22899
ù‡	6773	7	23138
ûB	66D6	7	23331
ûq	67E2	7	23378
ûw	6A9C	7	23384
ûå	6883	7	23404
üé	6C81	7	23918
üÛ	704C	7	24181
‡é	71FB	7	24430
‡œ	733E	7	24657
‡‰	7405	7	24678
·µ	76DE	7	25143
‚{	7A96	7	25436
„ 	98DC	7	26188
Âb	8606	7	26947
Ê€	8D14	7	27741
Ê˘	8E35	7	27771
Á^	8EBE	7	27967
ÁÎ	9248	7	28269
Ëí	95E5	7	28530
ÈG	98C4	7	28968
Èf	99AD	7	28999
Èû	9AF7	7	29054
È≥	9B51	7	29237
0	30	6	48
3	33	6	51
9	39	6	57
G	47	6	71
R	52	6	82
Åõ	25CB	6	8571
Çg	FF28	6	9032
Éd	30C5	6	9541
Éê	30F0	6	9584
àØ	8466	6	12337
àª	7DBE	6	12349
àæ	7C9F	6	12352
àÎ	58F1	6	12397
âV	9C3B	6	12599
âb	53E1	6	12611
ât	6DB2	6	12629
âç	71D5	6	12653
â¿	4F73	6	12866
âÈ	86FE	6	12907
äÅ	68B6	6	13153
ä°	82C5	6	13347
ä˚	68CB	6	13437
ãk	6A58	6	13644
ãä	7CFE	6	13674
ã†	4FA0	6	13858
å_	5951	6	14144
åÖ	6841	6	14181
åë	5026	6	14193
åó	570F	6	14199
åº	7D43	6	14398
å–	7CCA	6	14418
åÊ	68A7	6	14440
å˘	52FE	6	14459
ç[	6897	6	14652
çt	8861	6	14677
ç‹	5264	6	14942
ç¯	9BAD	6	14970
éW	71E6	6	15160
ék	55E3	6	15180
é˘	9700	6	15483
é˙	56DA	6	15484
èN	8490	6	15663
èç	6E1A	6	15725
è‚	9798	6	15972
êt	814E	6	16213
êõ	83C5	6	16251
ëH	8DF5	6	16681
ëT	7985	6	16693
ëﬂ	902E	6	16993
í˘	8A02	6	17531
ìA	912D	6	17698
ì·	4E4D	6	18019
ìÂ	7058	6	18023
îK	8471	6	18220
îx	80BA	6	18265
îÅ	7164	6	18273
î¶	5E61	6	18472
î∏	86E4	6	18490
î“	633D	6	18516
îÛ	6A0B	6	18549
ïD	758B	6	18725
ï^	8C79	6	18751
ïà	8B5C	6	18792
ñc	81A8	6	19268
ñg	927E	6	19272
ñr	7766	6	19283
ñï	62B9	6	19317
ñ∑	9D61	6	19513
ób	50AD	6	19779
óÄ	6C83	6	19808
ó…	907C	6	20043
òo	6900	6	20304
òÓ	5043	6	20592
ò˜	5078	6	20601
ôè	524C	6	20847
öÅ	5664	6	21345
öÑ	566A	6	21348
öô	56EE	6	21369
úW	5F29	6	22328
úe	5F73	6	22342
ú|	5FFF	6	22365
úÄ	6019	6	22368
úì	6063	6	22387
úÈ	61BA	6	22635
ú˙	620C	6	22652
ùB	622A	6	22819
ùs	634F	6	22868
ùt	6396	6	22869
ùπ	6523	6	23099
û}	6832	6	23390
ûÚ	6A59	6	23668
ü¥	6D59	6	24118
ü”	6E3E	6	24149
‡@	6F3E	6	24353
‡W	6FB9	6	24376
·r	75B5	6	24915
·z	75D9	6	24923
· 	776B	6	25164
·“	7791	6	25172
‚q	7A62	6	25426
„R	7D63	6	25907
„Å	7E3A	6	25953
„Ö	7E5E	6	25957
„ª	7FB9	6	26173
„ƒ	7FD4	6	26182
‰ä	8292	6	26474
‰¢	8332	6	26660
‰Ø	839F	6	26673
Ây	8823	6	26970
Âß	87CB	6	27177
Â©	87C0	6	27179
ÂÚ	892A	6	27252
Êw	8AA3	6	27480
ÊÖ	8AF7	6	27493
ÊÆ	8C3F	6	27696
Êﬁ	8D6D	6	27744
Êı	8E1E	6	27767
ÁÖ	8FA3	6	28005
Áà	8FB7	6	28008
ÈÆ	9B44	6	29232
È∞	9B4F	6	29234
ÈÕ	9BF1	6	29263
Í_	9E1A	6	29504
4	34	5	52
7	37	5	55
O	4F	5	79
Åç	2033	5	8557
ÇW	FF18	5	9016
Çj	FF2B	5	9035
à©	831C	5	12331
à›	80C3	5	12383
âC	97FB	5	12580
âK	536F	5	12588
âL	9D5C	5	12589
âÜ	63A9	5	12646
â†	65FA	5	12834
äü	7CA5	5	13345
äπ	67D1	5	13371
ãJ	5FBD	5	13611
ãW	5993	5	13624
ã¿	9957	5	13890
ãı	5BD3	5	13943
åD	8F61	5	14117
å°	727D	5	14371
å≤	9E78	5	14388
åΩ	8237	5	14399
å¡	4E4E	5	14403
åﬁ	4F0D	5	14432
çy	9175	5	14682
ç∆	54C9	5	14920
éì	96CC	5	15219
é≤	8EF8	5	15412
é€	6753	5	15453
èø	6A35	5	15937
è¯	91B8	5	15994
ê`	79E6	5	16193
ê«	96BB	5	16457
êﬁ	7A83	5	16480
ë^	695A	5	16703
ëj	963B	5	16715
ëy	60E3	5	16730
ëª	905C	5	16957
ë…	9640	5	16971
ëÕ	5806	5	16975
ë˘	8338	5	17019
ë˙	51E7	5	17020
ía	8A95	5	17218
í˚	8E44	5	17533
ìQ	8F4D	5	17714
ì≤	61A7	5	17972
îi	7436	5	18250
îv	724C	5	18263
î©	7560	5	18475
î¿	642C	5	18498
î˙	7435	5	18556
ïH	83F1	5	18729
ïÄ	65A7	5	18784
ï›	92EA	5	19039
ña	7D21	5	19266
ñâ	54E9	5	19305
ó»	8AD2	5	20042
ó¯	6F23	5	20090
òk	9C10	5	20300
ò«	4F57	5	20553
ôó	527D	5	20855
ô·	543C	5	21091
öb	5598	5	21315
õm	5B36	5	21838
õs	5B55	5	21844
õ≥	5CD9	5	22069
õ”	5DAE	5	22101
úú	60E7	5	22396
úß	60B8	5	22569
úæ	6147	5	22592
ú‘	615F	5	22614
ú‹	6194	5	22622
úﬁ	618A	5	22624
úÁ	61C3	5	22633
ú˜	6208	5	22649
ùC	622E	5	22820
ùG	6241	5	22824
ùN	627C	5	22831
ùS	6293	5	22836
ùf	62C9	5	22855
